#Reading 1073 moment catalogues...
#Found a total of 333175 Gaia/VIS stars for LONG_202407 with exposure time 560.52
  EXT   Fit    Not    RMSratio   C0           C1         C2        RAT0.75  RAT1.75  RAT2.75 
6-3.G   2034   2111   0.0172   -0.409357   0.416012  -0.067724    -0.1354   0.1113   0.2225
6-3.H   2098   2177   0.0168   -0.405344   0.414673  -0.066781    -0.1319   0.1158   0.2300
  6-4   9025   9385   0.0212   -0.379271   0.414519  -0.067405    -0.1063   0.1397   0.2509
6-4.E   2219   2305   0.0176   -0.380849   0.412128  -0.066960    -0.1094   0.1353   0.2461
6-4.F   2088   2180   0.0181   -0.366501   0.419557  -0.068432    -0.0903   0.1581   0.2698
6-4.G   2339   2462   0.0192   -0.378930   0.409787  -0.065529    -0.1085   0.1375   0.2524
6-4.H   2331   2438   0.0182   -0.388642   0.412959  -0.067032    -0.1166   0.1288   0.2401
  6-5   8785   9158   0.0194   -0.391530   0.416824  -0.068605    -0.1175   0.1278   0.2359
6-5.E   2089   2182   0.0192   -0.398203   0.412312  -0.067210    -0.1268   0.1175   0.2274
6-5.F   2284   2396   0.0184   -0.389781   0.414322  -0.068276    -0.1174   0.1262   0.2333
6-5.G   2223   2335   0.0177   -0.390663   0.423209  -0.070551    -0.1129   0.1339   0.2396
6-5.H   2155   2245   0.0178   -0.385443   0.413595  -0.067281    -0.1131   0.1323   0.2431
  6-6   6403   6594   0.0199   -0.406333   0.413439  -0.068897    -0.1350   0.1062   0.2096
6-6.E    935    969   0.0162   -0.422686   0.415979  -0.070469    -0.1503   0.0895   0.1883
6-6.F   1809   1871   0.0177   -0.403382   0.413880  -0.069352    -0.1320   0.1085   0.2103
6-6.G   1938   2013   0.0172   -0.393063   0.412446  -0.068653    -0.1223   0.1185   0.2220
6-6.H   1690   1741   0.0162   -0.411796   0.412598  -0.069289    -0.1413   0.0981   0.1988
